2025-07-14_20:59:54 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 203-Otromago] Success: [0, 0]
2025-07-14_21:00:08 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 204-KUNDUM] Success: [0, 0]
2025-07-14_21:03:01 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
2025-07-14_21:03:37 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
2025-07-14_21:03:57 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 205-ELMAGO] Success: [0, 0]
2025-07-14_21:05:03 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 206-GLADIATOR] Success: [0, 0]
2025-07-14_21:06:04 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 206-GLADIATOR] Success: [0, 0]
2025-07-14_21:06:13 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 207-LORDZ] Success: [0, 0]
2025-07-14_21:20:32 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
2025-07-14_21:20:54 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 208-NEMESIS] Success: [0, 0]
2025-07-14_21:22:19 INFO LoadDBCashShopCoin() - [SRV 0 -- 30000 - IP: 192.168.0.187 - MAC: 04:42:1A:48:70:20 - Account: 158-test - Character: 194-BKTest] Success: [0, 0]
